route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
7928,3,5213537,the Richmond District,0,395574,92360
7928,3,5213538,the Richmond District,0,395568,92360
7928,3,5213540,the Richmond District,0,395575,92360
7928,3,5213541,the Richmond District,0,395565,92360
7928,3,5213542,the Richmond District,0,395572,92360
7928,3,5213543,the Richmond District,0,395576,92360
7928,3,5213544,the Richmond District,0,395566,92360
7928,3,5213545,the Richmond District,0,395573,92360
7928,3,5213547,the Richmond District,0,395577,92360
7928,3,5213548,the Richmond District,0,395570,92360
7928,3,5213550,the Richmond District,0,395574,92360
7928,3,5213551,the Richmond District,0,395568,92360
7928,3,5213553,the Richmond District,0,395565,92360
7928,3,5213555,the Richmond District,0,395576,92360
7928,3,5213556,the Richmond District,0,395566,92360
7928,3,5213557,the Richmond District,0,395573,92360
7928,3,5213559,the Richmond District,0,395570,92360
7928,3,5213560,the Richmond District,0,395574,92360
7928,3,5213562,the Richmond District,0,395565,92360
7928,3,5213563,the Richmond District,0,395576,92360
7928,3,5213564,the Richmond District,0,395566,92360
7928,3,5213565,the Richmond District,0,395573,92360
7928,1,5212947,California & Presidio,0,395539,92361
7928,1,5212946,California & Presidio,0,395528,92361
7928,1,5212945,California & Presidio,0,395544,92361
7928,1,5212944,California & Presidio,0,395529,92361
7928,1,5212943,California & Presidio,0,395527,92361
7928,1,5212942,California & Presidio,0,395537,92361
7928,1,5212823,California & Presidio,0,395536,92361
7928,1,5212821,California & Presidio,0,395535,92361
7928,1,5212820,California & Presidio,0,395541,92361
7928,1,5212987,California & Presidio,0,395531,92361
7928,1,5212984,California & Presidio,0,395533,92361
7928,1,5212981,California & Presidio,0,395532,92361
7928,1,5212978,California & Presidio,0,395530,92361
7928,1,5212975,California & Presidio,0,395543,92361
7928,1,5212874,California & Presidio,0,395525,92361
7928,1,5212964,California & Presidio,0,395548,92361
7928,1,5212853,California & Presidio,0,395547,92361
7928,1,5212866,California & Presidio,0,395540,92361
7928,1,5212865,California & Presidio,0,395525,92361
7928,1,5212849,California & Presidio,0,395546,92361
7928,1,5212848,California & Presidio,0,395530,92361
7928,1,5212847,California & Presidio,0,395548,92361
7928,1,5212846,California & Presidio,0,395543,92361
7928,1,5212845,California & Presidio,0,395547,92361
7928,1,5212844,California & Presidio,0,395537,92361
7928,2,5213306,the Richmond District,0,395555,92360
7928,2,5213305,the Richmond District,0,395560,92360
7928,2,5213304,the Richmond District,0,395552,92360
7928,2,5213319,the Richmond District,0,395557,92360
7928,2,5213318,the Richmond District,0,395564,92360
7928,2,5213317,the Richmond District,0,395558,92360
7928,2,5213316,the Richmond District,0,395553,92360
7928,2,5213315,the Richmond District,0,395559,92360
7928,2,5213314,the Richmond District,0,395554,92360
7928,2,5213313,the Richmond District,0,395563,92360
7928,2,5213303,the Richmond District,0,395562,92360
7928,2,5213302,the Richmond District,0,395555,92360
7928,2,5213301,the Richmond District,0,395560,92360
7928,2,5213300,the Richmond District,0,395556,92360
7928,2,5213299,the Richmond District,0,395552,92360
7928,2,5213298,the Richmond District,0,395557,92360
7928,2,5213297,the Richmond District,0,395564,92360
7928,2,5213296,the Richmond District,0,395561,92360
7928,2,5213295,the Richmond District,0,395558,92360
7928,2,5213294,the Richmond District,0,395553,92360
7928,2,5213293,the Richmond District,0,395559,92360
7928,2,5213252,the Richmond District,0,395554,92360
7928,2,5213251,the Richmond District,0,395563,92360
7928,2,5213250,the Richmond District,0,395562,92360
7928,2,5213292,the Richmond District,0,395555,92360
7928,2,5213291,the Richmond District,0,395560,92360
7928,2,5213290,the Richmond District,0,395556,92360
7928,2,5213289,the Richmond District,0,395552,92360
7928,2,5213288,the Richmond District,0,395557,92360
7928,2,5213287,the Richmond District,0,395564,92360
7928,2,5213286,the Richmond District,0,395561,92360
7928,2,5213285,the Richmond District,0,395558,92360
7928,2,5213284,the Richmond District,0,395553,92360
7928,2,5213283,the Richmond District,0,395559,92360
7928,2,5213282,the Richmond District,0,395554,92360
7928,2,5213281,the Richmond District,0,395563,92360
7928,2,5213280,the Richmond District,0,395562,92360
7928,2,5213279,the Richmond District,0,395555,92360
7928,2,5213278,the Richmond District,0,395560,92360
7928,1,5212938,the Richmond District,0,395545,92364
7928,1,5212937,the Richmond District,0,395540,92364
7928,1,5212936,the Richmond District,0,395542,92364
7928,1,5212935,the Richmond District,0,395546,92364
7928,1,5212934,the Richmond District,0,395539,92364
7928,1,5212933,the Richmond District,0,395528,92364
7928,1,5212955,the Richmond District,0,395538,92364
7928,1,5212967,the Richmond District,0,395544,92364
7928,1,5212931,the Richmond District,0,395529,92364
7928,1,5212930,the Richmond District,0,395527,92364
7928,1,5212929,the Richmond District,0,395537,92364
7928,1,5212928,the Richmond District,0,395536,92364
7928,1,5212927,the Richmond District,0,395535,92364
7928,1,5212926,the Richmond District,0,395541,92364
7928,1,5212925,the Richmond District,0,395531,92364
7928,1,5212924,the Richmond District,0,395551,92364
7928,1,5212923,the Richmond District,0,395533,92364
7928,1,5212922,the Richmond District,0,395550,92364
7928,1,5212921,the Richmond District,0,395549,92364
7928,1,5212920,the Richmond District,0,395532,92364
7928,1,5212919,the Richmond District,0,395526,92364
7928,1,5212822,the Richmond District,0,395530,92364
7928,1,5212966,the Richmond District,0,395538,92364
7928,1,5212819,the Richmond District,0,395543,92364
7928,1,5212988,the Richmond District,0,395524,92364
7928,2,5213249,the Richmond District,0,395556,92360
7928,2,5213248,the Richmond District,0,395552,92360
7928,2,5213247,the Richmond District,0,395557,92360
7928,2,5213246,the Richmond District,0,395561,92360
7928,2,5213245,the Richmond District,0,395558,92360
7928,2,5213309,the Richmond District,0,395559,92360
7928,2,5213229,the Richmond District,0,395554,92360
7928,2,5213230,the Richmond District,0,395555,92360
7928,2,5213231,the Richmond District,0,395556,92360
7928,2,5213232,the Richmond District,0,395552,92360
7928,2,5213233,the Richmond District,0,395557,92360
7928,2,5213234,the Richmond District,0,395558,92360
7928,2,5213235,the Richmond District,0,395559,92360
7928,2,5213236,the Richmond District,0,395555,92360
7928,2,5213237,the Richmond District,0,395556,92360
7928,2,5213238,the Richmond District,0,395552,92360
7928,2,5213239,the Richmond District,0,395557,92360
7928,2,5213240,the Richmond District,0,395559,92360
7928,2,5213241,the Richmond District,0,395555,92360
7928,2,5213242,the Richmond District,0,395552,92360
7928,3,5213552,California & Presidio,0,395572,92361
7928,3,5213474,California & Presidio,0,395570,92361
7928,2,5213244,California & Presidio,0,395560,92361
7928,2,5213243,California & Presidio,0,395558,92361
7928,1,5212965,California & Presidio,0,395531,92361
7928,1,5212962,California & Presidio,0,395551,92361
7928,1,5212961,California & Presidio,0,395533,92361
7928,1,5212960,California & Presidio,0,395550,92361
7928,1,5212959,California & Presidio,0,395549,92361
7928,1,5212958,California & Presidio,0,395532,92361
7928,1,5212957,California & Presidio,0,395526,92361
7928,1,5212956,California & Presidio,0,395530,92361
7928,1,5212954,California & Presidio,0,395543,92361
7928,1,5212953,California & Presidio,0,395524,92361
7928,1,5212952,California & Presidio,0,395534,92361
7928,1,5212951,California & Presidio,0,395545,92361
7928,1,5212950,California & Presidio,0,395540,92361
7928,1,5212949,California & Presidio,0,395542,92361
7928,1,5212948,California & Presidio,0,395546,92361
7928,1,5212897,the Richmond District,0,395545,92364
7928,1,5212896,the Richmond District,0,395533,92364
7928,1,5212895,the Richmond District,0,395540,92364
7928,1,5212894,the Richmond District,0,395542,92364
7928,1,5212893,the Richmond District,0,395532,92364
7928,1,5212892,the Richmond District,0,395546,92364
7928,1,5212891,the Richmond District,0,395539,92364
7928,1,5212890,the Richmond District,0,395530,92364
7928,1,5212889,the Richmond District,0,395528,92364
